Seqid,Source,Type,Start,End,Score,Strand,Phase
NC_000001.11,BestRefSeq,CDS,943698,943808,,+,0
NC_000001.11,BestRefSeq,CDS,943908,944153,,+,0
NC_000001.11,BestRefSeq,CDS,960694,960800,,+,0
NC_000001.11,BestRefSeq,CDS,961293,961552,,+,1
NC_000001.11,BestRefSeq,CDS,961629,961750,,+,2
NC_000001.11,BestRefSeq,CDS,961826,962047,,+,0
NC_000001.11,BestRefSeq,CDS,962355,962471,,+,0
NC_000001.11,BestRefSeq,CDS,962704,962917,,+,0
NC_000001.11,BestRefSeq,CDS,963109,963253,,+,2
NC_000001.11,BestRefSeq,CDS,963337,963504,,+,1
NC_000001.11,BestRefSeq,CDS,963920,964008,,+,1
NC_000001.11,BestRefSeq,CDS,964107,964180,,+,2
NC_000001.11,BestRefSeq,CDS,964349,964530,,+,0
NC_000001.11,BestRefSeq,CDS,964963,965191,,+,1
NC_000001.11,BestRefSeq,CDS,966532,966614,,+,0
NC_000001.11,BestRefSeq,CDS,966704,966803,,+,1
NC_000001.11,BestRefSeq,CDS,970277,970423,,+,0
NC_000001.11,BestRefSeq,CDS,970521,970601,,+,0
NC_000001.11,BestRefSeq,CDS,970686,971006,,+,0
NC_000001.11,BestRefSeq,CDS,971077,971208,,+,0
NC_000001.11,BestRefSeq,CDS,971324,971404,,+,0
NC_000001.11,BestRefSeq,CDS,972075,972150,,+,0
NC_000001.11,BestRefSeq,CDS,972288,972424,,+,2
NC_000001.11,BestRefSeq,CDS,972861,973010,,+,0
NC_000001.11,BestRefSeq,CDS,973186,973326,,+,0
NC_000001.11,BestRefSeq,CDS,973500,973640,,+,0
NC_000001.11,BestRefSeq,CDS,973833,974051,,+,0
NC_000001.11,BestRefSeq,CDS,974316,974364,,+,0
NC_000001.11,BestRefSeq,CDS,974442,974575,,+,2
NC_000001.11,BestRefSeq,CDS,966532,966614,,+,0
NC_000001.11,BestRefSeq,CDS,966704,966803,,+,1
NC_000001.11,BestRefSeq,CDS,970277,970423,,+,0
NC_000001.11,BestRefSeq,CDS,970521,970601,,+,0
NC_000001.11,BestRefSeq,CDS,970686,970758,,+,0
NC_000001.11,BestRefSeq,CDS,970879,971006,,+,2
NC_000001.11,BestRefSeq,CDS,971077,971208,,+,0
NC_000001.11,BestRefSeq,CDS,971324,971404,,+,0
NC_000001.11,BestRefSeq,CDS,972075,972150,,+,0
NC_000001.11,BestRefSeq,CDS,972288,972424,,+,2
NC_000001.11,BestRefSeq,CDS,972861,973010,,+,0
NC_000001.11,BestRefSeq,CDS,973186,973326,,+,0
NC_000001.11,BestRefSeq,CDS,973500,973640,,+,0
NC_000001.11,BestRefSeq,CDS,973833,974051,,+,0
NC_000001.11,BestRefSeq,CDS,974316,974364,,+,0
NC_000001.11,BestRefSeq,CDS,974442,974575,,+,2
NC_000001.11,BestRefSeq,CDS,966532,966614,,+,0
NC_000001.11,BestRefSeq,CDS,966704,966803,,+,1
NC_000001.11,BestRefSeq,CDS,970277,970423,,+,0
NC_000001.11,BestRefSeq,CDS,970521,970601,,+,0
NC_000001.11,BestRefSeq,CDS,970686,970758,,+,0
NC_000001.11,BestRefSeq,CDS,970879,971006,,+,2
NC_000001.11,BestRefSeq,CDS,971077,971208,,+,0
NC_000001.11,BestRefSeq,CDS,971324,971404,,+,0
NC_000001.11,BestRefSeq,CDS,972075,972150,,+,0
NC_000001.11,BestRefSeq,CDS,972288,972424,,+,2
NC_000001.11,BestRefSeq,CDS,972861,973010,,+,0
NC_000001.11,BestRefSeq,CDS,973500,973640,,+,0
NC_000001.11,BestRefSeq,CDS,973833,974051,,+,0
NC_000001.11,BestRefSeq,CDS,974316,974364,,+,0
NC_000001.11,BestRefSeq,CDS,974442,974575,,+,2
NC_000001.11,BestRefSeq,CDS,966532,966614,,+,0
NC_000001.11,BestRefSeq,CDS,966704,966803,,+,1
NC_000001.11,BestRefSeq,CDS,970277,970423,,+,0
NC_000001.11,BestRefSeq,CDS,970521,970601,,+,0
NC_000001.11,BestRefSeq,CDS,970686,970758,,+,0
NC_000001.11,BestRefSeq,CDS,970879,971006,,+,2
NC_000001.11,BestRefSeq,CDS,971113,971208,,+,0
NC_000001.11,BestRefSeq,CDS,971324,971404,,+,0
NC_000001.11,BestRefSeq,CDS,972075,972150,,+,0
NC_000001.11,BestRefSeq,CDS,972288,972424,,+,2
NC_000001.11,BestRefSeq,CDS,972861,973010,,+,0
NC_000001.11,BestRefSeq,CDS,973186,973326,,+,0
NC_000001.11,BestRefSeq,CDS,973500,973640,,+,0
NC_000001.11,BestRefSeq,CDS,973833,974051,,+,0
NC_000001.11,BestRefSeq,CDS,974316,974364,,+,0
NC_000001.11,BestRefSeq,CDS,974442,974575,,+,2
NC_000001.11,BestRefSeq,CDS,1013574,1013576,,+,0
NC_000001.11,BestRefSeq,CDS,1013984,1014478,,+,0
NC_000001.11,BestRefSeq,CDS,1020173,1020373,,+,0
NC_000001.11,BestRefSeq,CDS,1022201,1022462,,+,0
NC_000001.11,BestRefSeq,CDS,1035277,1035324,,+,2
NC_000001.11,BestRefSeq,CDS,1040665,1040880,,+,2
NC_000001.11,BestRefSeq,CDS,1041173,1041397,,+,2
NC_000001.11,BestRefSeq,CDS,1041478,1041702,,+,2
NC_000001.11,BestRefSeq,CDS,1041956,1042162,,+,2
NC_000001.11,BestRefSeq,CDS,1043239,1043457,,+,2
NC_000001.11,BestRefSeq,CDS,1043538,1043732,,+,2
NC_000001.11,BestRefSeq,CDS,1043823,1044023,,+,2
NC_000001.11,BestRefSeq,CDS,1044109,1044257,,+,2
NC_000001.11,BestRefSeq,CDS,1044334,1044439,,+,0
NC_000001.11,BestRefSeq,CDS,1045161,1045277,,+,2
NC_000001.11,BestRefSeq,CDS,1045359,1045523,,+,2
NC_000001.11,BestRefSeq,CDS,1045733,1045876,,+,2
NC_000001.11,BestRefSeq,CDS,1045964,1046088,,+,2
NC_000001.11,BestRefSeq,CDS,1046160,1046265,,+,0
NC_000001.11,BestRefSeq,CDS,1046397,1046735,,+,2
NC_000001.11,BestRefSeq,CDS,1046820,1046957,,+,2
NC_000001.11,BestRefSeq,CDS,1047327,1047454,,+,2
NC_000001.11,BestRefSeq,CDS,1047573,1047687,,+,0
NC_000001.11,BestRefSeq,CDS,1047776,1047895,,+,2
NC_000001.11,BestRefSeq,CDS,1048012,1048365,,+,2
NC_000001.11,BestRefSeq,CDS,1048867,1049059,,+,2
NC_000001.11,BestRefSeq,CDS,1049236,1049451,,+,1
NC_000001.11,BestRefSeq,CDS,1049566,1049795,,+,1
NC_000001.11,BestRefSeq,CDS,1049903,1050037,,+,2
NC_000001.11,BestRefSeq,CDS,1050233,1050329,,+,2
NC_000001.11,BestRefSeq,CDS,1050427,1050591,,+,1
NC_000001.11,BestRefSeq,CDS,1050726,1050837,,+,1
NC_000001.11,BestRefSeq,CDS,1051032,1051043,,+,0
NC_000001.11,BestRefSeq,CDS,1051253,1051369,,+,0
NC_000001.11,BestRefSeq,CDS,1051453,1051645,,+,0
NC_000001.11,BestRefSeq,CDS,1051728,1051815,,+,2
NC_000001.11,BestRefSeq,CDS,1051993,1052016,,+,1
NC_000001.11,BestRefSeq,CDS,1053461,1053493,,+,1
NC_000001.11,BestRefSeq,CDS,1053753,1053977,,+,1
NC_000001.11,BestRefSeq,CDS,1054448,1054551,,+,1
NC_000001.11,BestRefSeq,CDS,1054824,1054981,,+,2
NC_000001.11,BestRefSeq,CDS,1020173,1020373,,+,0
NC_000001.11,BestRefSeq,CDS,1022201,1022462,,+,0
NC_000001.11,BestRefSeq,CDS,1035277,1035324,,+,2
NC_000001.11,BestRefSeq,CDS,1040665,1040880,,+,2
NC_000001.11,BestRefSeq,CDS,1041173,1041397,,+,2
NC_000001.11,BestRefSeq,CDS,1041478,1041702,,+,2
NC_000001.11,BestRefSeq,CDS,1041956,1042162,,+,2
NC_000001.11,BestRefSeq,CDS,1043239,1043457,,+,2
NC_000001.11,BestRefSeq,CDS,1043538,1043732,,+,2
NC_000001.11,BestRefSeq,CDS,1043823,1044023,,+,2
NC_000001.11,BestRefSeq,CDS,1044109,1044257,,+,2
NC_000001.11,BestRefSeq,CDS,1044334,1044439,,+,0
NC_000001.11,BestRefSeq,CDS,1045161,1045277,,+,2
NC_000001.11,BestRefSeq,CDS,1045359,1045523,,+,2
NC_000001.11,BestRefSeq,CDS,1045733,1045876,,+,2
NC_000001.11,BestRefSeq,CDS,1045964,1046088,,+,2
NC_000001.11,BestRefSeq,CDS,1046160,1046265,,+,0
NC_000001.11,BestRefSeq,CDS,1046397,1046735,,+,2
NC_000001.11,BestRefSeq,CDS,1046820,1046957,,+,2
NC_000001.11,BestRefSeq,CDS,1047327,1047454,,+,2
NC_000001.11,BestRefSeq,CDS,1047573,1047687,,+,0
NC_000001.11,BestRefSeq,CDS,1047776,1047895,,+,2
NC_000001.11,BestRefSeq,CDS,1048012,1048365,,+,2
NC_000001.11,BestRefSeq,CDS,1048867,1049059,,+,2
NC_000001.11,BestRefSeq,CDS,1049236,1049451,,+,1
NC_000001.11,BestRefSeq,CDS,1049566,1049795,,+,1
NC_000001.11,BestRefSeq,CDS,1049903,1050037,,+,2
NC_000001.11,BestRefSeq,CDS,1050233,1050329,,+,2
NC_000001.11,BestRefSeq,CDS,1050427,1050591,,+,1
NC_000001.11,BestRefSeq,CDS,1050726,1050837,,+,1
NC_000001.11,BestRefSeq,CDS,1051253,1051369,,+,0
NC_000001.11,BestRefSeq,CDS,1051453,1051645,,+,0
NC_000001.11,BestRefSeq,CDS,1051728,1051815,,+,2
NC_000001.11,BestRefSeq,CDS,1053753,1053977,,+,1
NC_000001.11,BestRefSeq,CDS,1054448,1054551,,+,1
NC_000001.11,BestRefSeq,CDS,1054824,1054981,,+,2
NC_000001.11,BestRefSeq,CDS,1034556,1034703,,+,0
NC_000001.11,BestRefSeq,CDS,1035277,1035324,,+,2
NC_000001.11,BestRefSeq,CDS,1040665,1040880,,+,2
NC_000001.11,BestRefSeq,CDS,1041173,1041397,,+,2
NC_000001.11,BestRefSeq,CDS,1041478,1041702,,+,2
NC_000001.11,BestRefSeq,CDS,1041956,1042162,,+,2
NC_000001.11,BestRefSeq,CDS,1043239,1043457,,+,2
NC_000001.11,BestRefSeq,CDS,1043538,1043732,,+,2
NC_000001.11,BestRefSeq,CDS,1043823,1044023,,+,2
NC_000001.11,BestRefSeq,CDS,1044109,1044257,,+,2
NC_000001.11,BestRefSeq,CDS,1044334,1044439,,+,0
NC_000001.11,BestRefSeq,CDS,1045161,1045277,,+,2
NC_000001.11,BestRefSeq,CDS,1045359,1045523,,+,2
NC_000001.11,BestRefSeq,CDS,1045733,1045876,,+,2
NC_000001.11,BestRefSeq,CDS,1045964,1046088,,+,2
NC_000001.11,BestRefSeq,CDS,1046160,1046265,,+,0
NC_000001.11,BestRefSeq,CDS,1046397,1046735,,+,2
NC_000001.11,BestRefSeq,CDS,1046820,1046957,,+,2
NC_000001.11,BestRefSeq,CDS,1047327,1047454,,+,2
NC_000001.11,BestRefSeq,CDS,1047573,1047687,,+,0
NC_000001.11,BestRefSeq,CDS,1047776,1047895,,+,2
NC_000001.11,BestRefSeq,CDS,1048012,1048365,,+,2
NC_000001.11,BestRefSeq,CDS,1048867,1049059,,+,2
NC_000001.11,BestRefSeq,CDS,1049236,1049451,,+,1
NC_000001.11,BestRefSeq,CDS,1049566,1049795,,+,1
NC_000001.11,BestRefSeq,CDS,1049903,1050037,,+,2
NC_000001.11,BestRefSeq,CDS,1050233,1050329,,+,2
NC_000001.11,BestRefSeq,CDS,1050427,1050591,,+,1
NC_000001.11,BestRefSeq,CDS,1050726,1050837,,+,1
NC_000001.11,BestRefSeq,CDS,1051032,1051043,,+,0
NC_000001.11,BestRefSeq,CDS,1051253,1051369,,+,0
NC_000001.11,BestRefSeq,CDS,1051453,1051645,,+,0
NC_000001.11,BestRefSeq,CDS,1051728,1051815,,+,2
NC_000001.11,BestRefSeq,CDS,1053753,1053977,,+,1
NC_000001.11,BestRefSeq,CDS,1054448,1054551,,+,1
NC_000001.11,BestRefSeq,CDS,1054824,1054981,,+,2
NC_000001.11,BestRefSeq,CDS,1179216,1179333,,+,0
NC_000001.11,BestRefSeq,CDS,1179657,1179737,,+,2
NC_000001.11,BestRefSeq,CDS,1180034,1180340,,+,2
NC_000001.11,BestRefSeq,CDS,1180483,1180601,,+,1
NC_000001.11,BestRefSeq,CDS,1180731,1180860,,+,2
NC_000001.11,BestRefSeq,CDS,1181741,1181815,,+,1
NC_000001.11,BestRefSeq,CDS,1182361,1182446,,+,1
NC_000001.11,BestRefSeq,CDS,1182876,1183047,,+,2
NC_000001.11,BestRefSeq,CDS,1183920,1184091,,+,1
NC_000001.11,BestRefSeq,CDS,1184969,1185109,,+,0
NC_000001.11,BestRefSeq,CDS,1196600,1196716,,+,0
NC_000001.11,BestRefSeq,CDS,1197093,1197186,,+,0
NC_000001.11,BestRefSeq,CDS,1197438,1197847,,+,2
NC_000001.11,BestRefSeq,CDS,1179216,1179333,,+,0
NC_000001.11,BestRefSeq,CDS,1179657,1179737,,+,2
NC_000001.11,BestRefSeq,CDS,1180034,1180340,,+,2
NC_000001.11,BestRefSeq,CDS,1180483,1180601,,+,1
NC_000001.11,BestRefSeq,CDS,1180731,1180860,,+,2
NC_000001.11,BestRefSeq,CDS,1181741,1181815,,+,1
NC_000001.11,BestRefSeq,CDS,1182361,1182446,,+,1
NC_000001.11,BestRefSeq,CDS,1182876,1183047,,+,2
NC_000001.11,BestRefSeq,CDS,1183920,1184091,,+,1
NC_000001.11,BestRefSeq,CDS,1184969,1185109,,+,0
NC_000001.11,BestRefSeq,CDS,1196600,1196716,,+,0
NC_000001.11,BestRefSeq,CDS,1197093,1197186,,+,0
NC_000001.11,BestRefSeq,CDS,1197438,1197847,,+,2
NC_000001.11,BestRefSeq,CDS,1180054,1180340,,+,0
NC_000001.11,BestRefSeq,CDS,1180483,1180601,,+,1
NC_000001.11,BestRefSeq,CDS,1180731,1180860,,+,2
NC_000001.11,BestRefSeq,CDS,1181741,1181815,,+,1
NC_000001.11,BestRefSeq,CDS,1182361,1182446,,+,1
NC_000001.11,BestRefSeq,CDS,1182876,1183047,,+,2
NC_000001.11,BestRefSeq,CDS,1183920,1184091,,+,1
NC_000001.11,BestRefSeq,CDS,1184969,1185142,,+,0
NC_000001.11,BestRefSeq,CDS,1232279,1233268,,+,0
NC_000001.11,BestRefSeq,CDS,1280662,1280666,,+,0
NC_000001.11,BestRefSeq,CDS,1281226,1281297,,+,1
NC_000001.11,BestRefSeq,CDS,1281411,1281610,,+,1
NC_000001.11,BestRefSeq,CDS,1282242,1282315,,+,2
NC_000001.11,BestRefSeq,CDS,1283978,1284090,,+,0
NC_000001.11,BestRefSeq,CDS,1285571,1285664,,+,1
NC_000001.11,BestRefSeq,CDS,1285926,1286278,,+,0
NC_000001.11,BestRefSeq,CDS,1286768,1286975,,+,1
NC_000001.11,BestRefSeq,CDS,1287109,1287299,,+,0
NC_000001.11,BestRefSeq,CDS,1287508,1287596,,+,1
NC_000001.11,BestRefSeq,CDS,1287673,1287836,,+,2
NC_000001.11,BestRefSeq,CDS,1287939,1288037,,+,0
NC_000001.11,BestRefSeq,CDS,1290271,1290388,,+,0
NC_000001.11,BestRefSeq,CDS,1290477,1290555,,+,2
NC_000001.11,BestRefSeq,CDS,1290637,1290694,,+,1
NC_000001.11,BestRefSeq,CDS,1290895,1290953,,+,0
NC_000001.11,BestRefSeq,CDS,1291065,1291140,,+,1
NC_000001.11,BestRefSeq,CDS,1291254,1291610,,+,0
NC_000001.11,BestRefSeq,CDS,1308644,1308720,,+,0
NC_000001.11,BestRefSeq,CDS,1308915,1308972,,+,1
NC_000001.11,BestRefSeq,CDS,1309086,1309273,,+,0
NC_000001.11,BestRefSeq,CDS,1309454,1309603,,+,1
NC_000001.11,BestRefSeq,CDS,1309681,1309851,,+,1
NC_000001.11,BestRefSeq,CDS,1310634,1310688,,+,1
NC_000001.11,BestRefSeq,CDS,1310840,1311071,,+,0
NC_000001.11,BestRefSeq,CDS,1311330,1311379,,+,2
NC_000001.11,BestRefSeq,CDS,1308644,1308720,,+,0
NC_000001.11,BestRefSeq,CDS,1308915,1308972,,+,1
NC_000001.11,BestRefSeq,CDS,1309086,1309273,,+,0
NC_000001.11,BestRefSeq,CDS,1309454,1309603,,+,1
NC_000001.11,BestRefSeq,CDS,1309681,1309851,,+,1
NC_000001.11,BestRefSeq,CDS,1310634,1310688,,+,1
NC_000001.11,BestRefSeq,CDS,1310909,1311071,,+,0
NC_000001.11,BestRefSeq,CDS,1311330,1311379,,+,2
NC_000001.11,BestRefSeq,CDS,1326911,1327032,,+,0
NC_000001.11,BestRefSeq,CDS,1327241,1327763,,+,1
NC_000001.11,BestRefSeq,CDS,1331346,1331536,,+,0
NC_000001.11,BestRefSeq,CDS,1331638,1331938,,+,1
NC_000001.11,BestRefSeq,CDS,1332024,1332806,,+,0
NC_000001.11,BestRefSeq,CDS,1332921,1333124,,+,0
NC_000001.11,BestRefSeq,CDS,1333259,1333379,,+,0
NC_000001.11,BestRefSeq,CDS,1333506,1334464,,+,2
NC_000001.11,BestRefSeq,CDS,1426128,1426385,,+,0
NC_000001.11,BestRefSeq,CDS,1427554,1427787,,+,0
NC_000001.11,BestRefSeq,CDS,1435749,1435821,,+,0
NC_000001.11,BestRefSeq,CDS,1436927,1437484,,+,2
NC_000001.11,BestRefSeq,CDS,1439081,1439787,,+,2
NC_000001.11,BestRefSeq,CDS,1435749,1435821,,+,0
NC_000001.11,BestRefSeq,CDS,1437322,1437443,,+,2
NC_000001.11,BestRefSeq,CDS,1450684,1450758,,+,0
NC_000001.11,BestRefSeq,CDS,1452046,1452122,,+,0
NC_000001.11,BestRefSeq,CDS,1452365,1452434,,+,1
NC_000001.11,BestRefSeq,CDS,1454345,1454500,,+,0
NC_000001.11,BestRefSeq,CDS,1455460,1455519,,+,0
NC_000001.11,BestRefSeq,CDS,1455791,1455916,,+,0
NC_000001.11,BestRefSeq,CDS,1456225,1456349,,+,0
NC_000001.11,BestRefSeq,CDS,1457129,1457180,,+,1
NC_000001.11,BestRefSeq,CDS,1459161,1459231,,+,0
NC_000001.11,BestRefSeq,CDS,1460750,1460917,,+,1
NC_000001.11,BestRefSeq,CDS,1462600,1462708,,+,1
NC_000001.11,BestRefSeq,CDS,1468384,1468530,,+,0
NC_000001.11,BestRefSeq,CDS,1471885,1472089,,+,0
NC_000001.11,BestRefSeq,CDS,1477274,1477350,,+,2
NC_000001.11,BestRefSeq,CDS,1478644,1478745,,+,0
NC_000001.11,BestRefSeq,CDS,1479049,1479108,,+,0
NC_000001.11,BestRefSeq,CDS,1480867,1480936,,+,0
NC_000001.11,BestRefSeq,CDS,1482138,1482303,,+,2
NC_000001.11,BestRefSeq,CDS,1482545,1482614,,+,1
NC_000001.11,BestRefSeq,CDS,1485016,1485171,,+,0
NC_000001.11,BestRefSeq,CDS,1485782,1485838,,+,0
NC_000001.11,BestRefSeq,CDS,1486110,1486235,,+,0
NC_000001.11,BestRefSeq,CDS,1486544,1486668,,+,0
NC_000001.11,BestRefSeq,CDS,1487863,1487914,,+,1
NC_000001.11,BestRefSeq,CDS,1489204,1489274,,+,0
NC_000001.11,BestRefSeq,CDS,1490257,1490424,,+,1
NC_000001.11,BestRefSeq,CDS,1490563,1490671,,+,1
NC_000001.11,BestRefSeq,CDS,1495485,1495817,,+,0
NC_000001.11,BestRefSeq,CDS,1478500,1478745,,+,0
NC_000001.11,BestRefSeq,CDS,1479049,1479108,,+,0
NC_000001.11,BestRefSeq,CDS,1480867,1480936,,+,0
NC_000001.11,BestRefSeq,CDS,1482138,1482303,,+,2
NC_000001.11,BestRefSeq,CDS,1482545,1482614,,+,1
NC_000001.11,BestRefSeq,CDS,1485016,1485171,,+,0
NC_000001.11,BestRefSeq,CDS,1485782,1485838,,+,0
NC_000001.11,BestRefSeq,CDS,1486110,1486235,,+,0
NC_000001.11,BestRefSeq,CDS,1486544,1486668,,+,0
NC_000001.11,BestRefSeq,CDS,1487863,1487914,,+,1
NC_000001.11,BestRefSeq,CDS,1489204,1489274,,+,0
NC_000001.11,BestRefSeq,CDS,1490257,1490424,,+,1
NC_000001.11,BestRefSeq,CDS,1490563,1490671,,+,1
NC_000001.11,BestRefSeq,CDS,1495485,1495817,,+,0
NC_000001.11,BestRefSeq,CDS,1512269,1512473,,+,0
NC_000001.11,BestRefSeq,CDS,1516012,1516088,,+,2
NC_000001.11,BestRefSeq,CDS,1517167,1517412,,+,0
NC_000001.11,BestRefSeq,CDS,1517716,1517775,,+,0
NC_000001.11,BestRefSeq,CDS,1518921,1518990,,+,0
NC_000001.11,BestRefSeq,CDS,1520141,1520306,,+,2
NC_000001.11,BestRefSeq,CDS,1520548,1520617,,+,1
NC_000001.11,BestRefSeq,CDS,1522744,1522899,,+,0
NC_000001.11,BestRefSeq,CDS,1523511,1523567,,+,0
NC_000001.11,BestRefSeq,CDS,1523839,1523964,,+,0
NC_000001.11,BestRefSeq,CDS,1524273,1524397,,+,0
NC_000001.11,BestRefSeq,CDS,1525240,1525291,,+,1
NC_000001.11,BestRefSeq,CDS,1526461,1526531,,+,0
NC_000001.11,BestRefSeq,CDS,1527695,1527862,,+,1
NC_000001.11,BestRefSeq,CDS,1529223,1529331,,+,1
NC_000001.11,BestRefSeq,CDS,1533926,1534072,,+,0
NC_000001.11,BestRefSeq,CDS,1512269,1512473,,+,0
NC_000001.11,BestRefSeq,CDS,1516012,1516088,,+,2
NC_000001.11,BestRefSeq,CDS,1517311,1517412,,+,0
NC_000001.11,BestRefSeq,CDS,1517716,1517775,,+,0
NC_000001.11,BestRefSeq,CDS,1518921,1518990,,+,0
NC_000001.11,BestRefSeq,CDS,1520141,1520306,,+,2
NC_000001.11,BestRefSeq,CDS,1520548,1520617,,+,1
NC_000001.11,BestRefSeq,CDS,1522744,1522899,,+,0
NC_000001.11,BestRefSeq,CDS,1523511,1523567,,+,0
NC_000001.11,BestRefSeq,CDS,1523839,1523964,,+,0
NC_000001.11,BestRefSeq,CDS,1524273,1524397,,+,0
NC_000001.11,BestRefSeq,CDS,1525240,1525291,,+,1
NC_000001.11,BestRefSeq,CDS,1526461,1526531,,+,0
NC_000001.11,BestRefSeq,CDS,1527695,1527862,,+,1
NC_000001.11,BestRefSeq,CDS,1529223,1529331,,+,1
NC_000001.11,BestRefSeq,CDS,1533926,1534072,,+,0
NC_000001.11,BestRefSeq,CDS,1516044,1516088,,+,0
NC_000001.11,BestRefSeq,CDS,1517311,1517412,,+,0
NC_000001.11,BestRefSeq,CDS,1517716,1517775,,+,0
NC_000001.11,BestRefSeq,CDS,1518921,1518990,,+,0
NC_000001.11,BestRefSeq,CDS,1520141,1520306,,+,2
NC_000001.11,BestRefSeq,CDS,1520548,1520617,,+,1
NC_000001.11,BestRefSeq,CDS,1522744,1522899,,+,0
NC_000001.11,BestRefSeq,CDS,1523511,1523567,,+,0
NC_000001.11,BestRefSeq,CDS,1523839,1523964,,+,0
NC_000001.11,BestRefSeq,CDS,1524273,1524397,,+,0
NC_000001.11,BestRefSeq,CDS,1525240,1525291,,+,1
NC_000001.11,BestRefSeq,CDS,1526461,1526531,,+,0
NC_000001.11,BestRefSeq,CDS,1527695,1527862,,+,1
NC_000001.11,BestRefSeq,CDS,1529223,1529331,,+,1
NC_000001.11,BestRefSeq,CDS,1533926,1534072,,+,0
NC_000001.11,BestRefSeq,CDS,1623453,1623699,,+,0
NC_000001.11,BestRefSeq,CDS,1623774,1623945,,+,2
NC_000001.11,BestRefSeq,CDS,1624795,1624901,,+,1
NC_000001.11,BestRefSeq,CDS,1624991,1625185,,+,2
NC_000001.11,BestRefSeq,CDS,1625286,1625428,,+,2
NC_000001.11,BestRefSeq,CDS,1625546,1625653,,+,0
NC_000001.11,BestRefSeq,CDS,1626650,1626754,,+,0
NC_000001.11,BestRefSeq,CDS,1626837,1626999,,+,0
NC_000001.11,BestRefSeq,CDS,1627074,1627207,,+,2
NC_000001.11,BestRefSeq,CDS,1627296,1627444,,+,0
NC_000001.11,BestRefSeq,CDS,1627673,1627829,,+,1
NC_000001.11,BestRefSeq,CDS,1628019,1628179,,+,0
NC_000001.11,BestRefSeq,CDS,1628273,1628399,,+,1
NC_000001.11,BestRefSeq,CDS,1628489,1628722,,+,0
NC_000001.11,BestRefSeq,CDS,1629133,1629311,,+,0
NC_000001.11,BestRefSeq,CDS,1629385,1629566,,+,1
NC_000001.11,BestRefSeq,CDS,1629639,1629704,,+,2
NC_000001.11,BestRefSeq,CDS,1630292,1630530,,+,2
NC_000001.11,BestRefSeq,CDS,1623453,1623699,,+,0
NC_000001.11,BestRefSeq,CDS,1623774,1623945,,+,2
NC_000001.11,BestRefSeq,CDS,1624795,1624901,,+,1
NC_000001.11,BestRefSeq,CDS,1624991,1625185,,+,2
NC_000001.11,BestRefSeq,CDS,1625286,1625428,,+,2
NC_000001.11,BestRefSeq,CDS,1625558,1625653,,+,0
NC_000001.11,BestRefSeq,CDS,1626650,1626754,,+,0
NC_000001.11,BestRefSeq,CDS,1626837,1626999,,+,0
